Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Dell,Notebook,16,2.8,11.14491104,No,No,127.3356746,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,10.75434592,No,No,157.3505121,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,10.37082262,No,Yes,157.3505121,Intel Core i3,0,256,,Others
Asus,Notebook,8,1.4,10.82250417,No,No,157.3505121,Intel Core i5,0,256,,Windows
HP,Notebook,8,1.86,10.51225262,No,No,141.2119981,Intel Core i5,0,256,,Windows
Asus,Ultrabook,16,1.8,11.56792715,No,No,141.2119981,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,10.05935404,No,No,100.4546699,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,9.40928303,No,No,111.9352036,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,10.28365947,No,No,141.2119981,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3,10.83096982,No,No,127.3356746,Intel Core i7,1000,0,Nvidia,Others
Microsoft,Ultrabook,4,1.252,10.96857615,Yes,No,200.8425599,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,10.83727237,No,Yes,165.6321181,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,10.74405424,No,No,141.2119981,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,10.97407067,No,No,127.3356746,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,2.1,9.93914037,No,No,111.9352036,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,10.83096982,No,No,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,10.22746491,No,No,141.2119981,Intel Core i5,2000,0,Intel,Others
Dell,Notebook,8,2.02,10.7266625,No,No,141.2119981,Intel Core i7,1000,128,,Windows
Acer,Notebook,4,2.2,10.24843803,No,No,141.2119981,Intel Core i3,1000,0,,Windows
HP,Notebook,8,2.5,10.86004768,No,No,127.3356746,Intel Core i5,1000,,,Windows
Dell,Ultrabook,8,1.88,10.97512947,No,Yes,141.2119981,Intel Core i5,0,,Intel,Windows
Apple,Ultrabook,8,0.92,11.29542596,No,Yes,226.4155472,Intel Core i5,0,,Intel,Mac
HP,Notebook,8,1.63,10.73249342,No,No,157.3505121,Intel Core i5,0,,Intel,Windows
Lenovo,Notebook,4,2.2,9.964522443,No,No,141.2119981,AMD Processor,0,,AMD,Windows
Acer,Notebook,4,2.1,9.954446791,No,No,100.4546699,AMD Processor,1000,,AMD,Windows
Dell,Gaming,16,2.65,11.18267988,No,Yes,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,1.83,10.52521177,No,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,10.37080593,No,No,141.2119981,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,11.25418997,No,Yes,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,11.38348535,No,Yes,165.6321181,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,10.52521177,No,No,141.2119981,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,2.2,10.5108023,No,No,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,11.06313473,No,No,165.6321181,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,11.06146249,No,No,141.2119981,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,10.93115363,No,No,157.3505121,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,10.71726172,Yes,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,10.372324,No,No,141.2119981,Intel Core i7,1000,0,AMD,Others
Dell,Notebook,4,2.2,10.15970992,No,No,141.2119981,Intel Core i3,0,256,AMD,Others
Asus,Notebook,6,2,10.33340329,No,No,141.2119981,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,2.62,11.10565954,No,Yes,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,1.91,10.55342238,No,No,141.2119981,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,2.1,9.830632948,No,No,141.2119981,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,2.2,10.44790732,No,No,141.2119981,Intel Core i5,1000,0,AMD,Others
HP,Ultrabook,8,1.38,10.99575173,No,Yes,165.6321181,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,11.17598592,Yes,No,200.8425599,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.58,10.46628456,No,Yes,157.3505121,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,1.85,10.00359855,No,No,141.2119981,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,1.3,11.05978745,No,Yes,157.3505121,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,2.2,11.14491104,No,No,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,1.58,11.27535839,No,Yes,157.3505121,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,1.5,11.11601407,No,No,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,1.23,11.2046749,Yes,No,276.0535301,Intel Core i7,0,,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,11.219074,Yes,Yes,165.6321181,Intel Core i5,0,,Intel,Windows
HP,Notebook,4,1.63,10.55758617,No,Yes,111.9352036,Intel Core i5,500,,Intel,Windows
Dell,Ultrabook,8,1.21,11.37128263,No,Yes,165.6321181,Intel Core i5,0,,Intel,Windows
HP,2 in 1 Convertible,8,1.26,11.21906685,Yes,Yes,165.6321181,Intel Core i5,0,,Intel,Windows
HP,Notebook,8,1.63,10.96397421,No,No,157.3505121,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.16,11.00582593,No,Yes,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,2,10.31061528,No,No,127.3356746,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,1.7,10.99485768,No,No,141.2119981,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,2.1,10.14726162,Yes,Yes,141.2119981,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,1.8,11.69046159,No,No,141.2119981,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,10.41969228,No,No,141.2119981,Intel Core i5,0,256,Nvidia,Others
HP,Notebook,16,2.5,11.1231203,No,No,127.3356746,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,2.1,10.08702837,No,No,100.4546699,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,1.86,9.532389088,No,No,100.4546699,Other Intel Processor,500,0,Intel,Others
HP,Notebook,8,1.63,10.67506137,No,No,157.3505121,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,1.65,9.603146168,No,No,111.9352036,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,2.8,11.21692731,No,No,127.3356746,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,2.5,10.80859276,No,No,127.3356746,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.36,10.43544983,No,No,100.4546699,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,2.2,10.08258391,No,No,141.2119981,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,1.6,10.76001809,No,Yes,157.3505121,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,2.2,10.32470002,No,No,141.2119981,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,2.05,10.36915178,No,No,100.4546699,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,1.63,10.87124372,No,No,157.3505121,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,1.9,9.506417666,No,No,100.4546699,Other Intel Processor,1000,0,Intel,Others
Asus,Gaming,8,3,10.81931098,No,No,127.3356746,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,2.2,10.18816712,No,No,141.2119981,Intel Core i5,1000,0,Nvidia,Others
HP,Notebook,4,1.32,10.52521177,No,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,3,10.46019626,No,Yes,127.3356746,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,10.99308509,No,Yes,157.3505121,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,2.4,10.74290415,No,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Others
Toshiba,Notebook,4,2.1,10.37581847,No,No,100.4546699,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,1.86,9.88635767,No,No,100.4546699,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,1.25,10.97771698,No,No,157.3505121,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,0.97,11.5834391,Yes,Yes,352.4651472,Other Intel Processor,0,,Intel,Windows
Asus,Notebook,4,2,9.816202684,No,No,141.2119981,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.9,11.59085937,No,No,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,10.07811962,No,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,2.56,11.10586768,No,No,141.2119981,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,2.62,10.77684406,No,No,141.2119981,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,10.1861611,No,No,100.4546699,Intel Core i5,0,,Intel,Windows
MSI,Gaming,16,2.8,11.51989313,No,No,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,1.48,10.96212749,No,No,157.3505121,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.91,10.4036663,No,No,141.2119981,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,10.41969228,Yes,Yes,157.3505121,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,11.15715297,Yes,No,165.6321181,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,10.93115363,Yes,No,141.2119981,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,2.1,10.07811962,No,No,100.4546699,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,2.03,9.974497588,No,No,100.4546699,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,4,3,10.6664033,No,Yes,127.3356746,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.13,10.56586207,No,No,141.2119981,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,2.5,10.95935099,No,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,9.827763506,No,No,100.4546699,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.4,11.47054726,No,Yes,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,9.871367833,No,No,100.4546699,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,8,2.56,10.94204737,No,No,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,8,3,10.72549222,No,Yes,127.3356746,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,1.49,10.60095339,No,Yes,165.6321181,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,1.05,11.18267988,No,Yes,199.6920706,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,2.71,10.52521177,No,Yes,127.3356746,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,2.2,9.708902303,No,No,100.4546699,AMD Processor,500,0,AMD,Others
Toshiba,Notebook,4,2,10.16792352,No,No,100.4546699,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,2.5,10.80319026,No,No,127.3356746,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.3,10.10461124,No,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,2.1,10.08258391,No,No,100.4546699,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,4.4,11.91257852,No,No,119.7232158,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,8,1.9,10.67629214,No,No,141.2119981,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,8,1.29,11.28811452,Yes,Yes,331.2642361,Intel Core i5,0,,Intel,Windows
Dell,Notebook,16,2.02,10.93115363,No,No,141.2119981,Intel Core i7,2000,256,AMD,Others
Dell,Ultrabook,8,1.23,11.219074,No,No,165.6321181,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,11.49796126,Yes,Yes,316.9650604,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2,10.65138425,No,No,100.4546699,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,1.95,11.06480418,No,Yes,141.2119981,Intel Core i5,0,256,Nvidia,Others
Dell,Notebook,16,2.77,11.32092587,Yes,No,127.3356746,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,2.06,11.75753426,Yes,No,282.4239962,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,2.4,10.63357207,No,Yes,141.2119981,Intel Core i5,0,256,Nvidia,Others
Acer,Ultrabook,8,1.12,10.87225536,No,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.8,10.96489629,No,No,127.3356746,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,11.92147062,Yes,No,209.8006829,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,1.3,9.536242657,No,Yes,157.3505121,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,10.8832163,No,Yes,165.6321181,Intel Core i5,0,256,Nvidia,Others
Lenovo,Notebook,8,2.8,10.52378013,No,No,106.1130621,Intel Core i5,0,256,Nvidia,Others
Dell,2 in 1 Convertible,8,1.62,10.70777173,Yes,Yes,165.6321181,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,2.5,10.7933916,No,Yes,127.3356746,Intel Core i5,1000,,Nvidia,Windows
Razer,Gaming,32,3.49,12.69144113,Yes,No,254.6713491,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,1.49,10.8414521,No,No,165.6321181,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,3.35,11.2046749,No,Yes,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,2.5,10.92733319,No,No,127.3356746,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,2.65,11.49579558,No,Yes,282.4239962,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,2.1,10.1760702,No,No,100.4546699,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,2.23,10.58491027,No,No,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,11.4423605,No,Yes,141.2119981,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,2.8,12.0000959,No,No,282.4239962,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,16,2.4,11.21835895,No,No,141.2119981,Intel Core i7,0,512,Nvidia,Others
Dell,Notebook,6,2.3,10.06006044,Yes,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,1.21,11.55063273,Yes,Yes,331.2642361,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,1.2,11.25418997,No,No,165.6321181,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,2.2,10.36747814,No,No,100.4546699,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,2.4,10.63357207,No,No,141.2119981,Intel Core i7,1000,0,Nvidia,Others
Asus,Gaming,16,2.9,11.22477608,No,No,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,2.1,9.830632948,No,No,141.2119981,Intel Core i3,500,0,Intel,Others
Lenovo,,8,2.2,10.28365947,No,No,141.2119981,Intel Core i5,0,256,Intel,Others
Huawei,Ultrabook,8,1.05,11.28811452,No,Yes,199.6920706,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,10.81276508,No,Yes,165.6321181,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,10.35398721,No,No,106.1130621,Intel Core i5,1000,0,Nvidia,Others
HP,Notebook,8,1.63,10.91384551,No,No,157.3505121,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,11.0222083,No,No,157.3505121,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,11.12939483,Yes,No,165.6321181,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,10.49374915,No,No,141.2119981,Intel Core i5,0,256,AMD,Others
Lenovo,2 in 1 Convertible,8,1.74,10.77684406,No,Yes,157.3505121,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,11.19300446,No,No,165.6321181,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,10.65264449,No,No,141.2119981,Intel Core i5,1000,,Intel,Windows
Dell,Gaming,16,4.42,11.78198874,No,Yes,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
Acer,,8,2.2,10.69939347,No,No,141.2119981,,0,256,Nvidia,Windows
Dell,,16,2.3,10.73134159,Yes,No,141.2119981,Intel Core i7,1000,0,AMD,Windows
Asus,,8,2,10.620652,No,No,141.2119981,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,10.76790545,No,No,127.3356746,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,8,1.9,11.12154549,No,No,141.2119981,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,9.96449738,No,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,9.774653681,No,No,100.4546699,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,11.28811452,No,Yes,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,8,1.6,10.73132995,No,No,157.3505121,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,10.5108023,Yes,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,10.77684406,No,No,141.2119981,Intel Core i7,0,256,AMD,Others
Acer,Notebook,4,2.1,9.941707765,No,No,100.4546699,Intel Core i3,1000,0,Intel,Others
Asus,Notebook,4,2.2,10.32993107,No,No,141.2119981,AMD Processor,1000,128,AMD,Windows
Asus,Gaming,32,4.7,12.24172546,No,No,127.3356746,Intel Core i7,1000,512,Nvidia,Windows
Acer,Gaming,8,2.5,10.71608039,No,Yes,141.2119981,Intel Core i5,0,256,Nvidia,Windows
Lenovo,,8,2.2,10.35398721,No,No,100.4546699,Intel Core i3,0,128,Intel,Windows
Asus,,8,2.1,11.01872094,No,No,127.3356746,Intel Core i7,1000,128,Nvidia,Windows
Asus,,8,2.69,10.76565826,No,No,127.3356746,Intel Core i7,1000,128,Nvidia,Others
Dell,Gaming,8,2.56,10.75434592,No,No,141.2119981,Intel Core i5,0,256,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,1.38,10.95935099,Yes,Yes,158.4825302,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,8,2.2,10.86820267,No,No,141.2119981,Intel Core i7,2000,128,AMD,Windows
HP,Notebook,8,2.04,10.3017105,Yes,No,100.4546699,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,16,3.6,11.9815952,No,No,127.3356746,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.49,10.49027372,No,Yes,165.6321181,Intel Core i5,500,0,Intel,Windows
Apple,Ultrabook,8,1.37,11.59626611,No,Yes,226.9830047,Intel Core i5,0,512,Intel,Mac
Dell,2 in 1 Convertible,8,2.08,10.68364511,Yes,Yes,141.2119981,Intel Core i7,1000,0,Intel,Windows
Asus,Gaming,16,4.3,11.47054726,No,No,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,1.68,10.12616379,No,No,100.4546699,AMD Processor,1000,0,AMD,Windows
Lenovo,,8,1.37,11.49796126,Yes,Yes,158.4825302,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,3,10.52949443,No,Yes,127.3356746,Intel Core i3,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.41,10.83096982,No,No,165.6321181,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.91,10.07565574,No,No,100.4546699,AMD Processor,0,128,AMD,Windows
HP,Notebook,16,2.9,10.94064137,No,Yes,127.3356746,Intel Core i7,1000,0,Nvidia,Windows
MSI,Gaming,16,4.14,11.79920696,No,No,127.3356746,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,2,11.41335615,Yes,Yes,141.2119981,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,8,2.8,11.01609742,No,No,127.3356746,Intel Core i7,1000,128,AMD,Windows
